  PCB NAME   ET-D720202-0014Å@Å@
  PCB NUMBER FB11060-A
                                 Data of Draw up 2011.07.06  

  PART_ID              XLOC            YLOC           ANGLE

  BFP1                 92.00            5.00          0.00
  BFP2                  5.00           73.50          0.00
  BFP3                 92.00           73.50          0.00

  C1                   54.00           48.50         90.00
  C2                   68.50           57.50          0.00
  C3                   43.75           59.75         90.00
  C4                   40.25           59.75         90.00
  C5                   70.50           64.50         90.00
  C6                   74.00           64.50         90.00
  C7                   77.60           49.80         90.00
  C8                   52.00           48.50         90.00
  C9                   17.00           54.50          0.00
  C10                  30.00           54.50          0.00
  C11                  60.90           28.70         90.00
  C12                  18.00           29.50         90.00
  C13                  18.00           49.50         90.00
  C14                  46.20           17.60         90.00
  C15                  57.20           41.60          0.00
  C16                  41.50           21.30          0.00
  C17                  25.00           28.50          0.00
  C18                  25.00           48.50          0.00
  C19                  71.50           41.90          0.00
  C20                  68.40           34.50         90.00
  C21                  72.70           40.25          0.00
  C22                  72.00           32.80          0.00
  C23                  24.90           22.68          0.00
  C24                  24.90           21.58          0.00
  C25                  24.90           42.68          0.00
  C26                  24.90           41.58          0.00
  C27                  59.33           18.62         90.00
  C28                  60.42           18.62         90.00
  C29                  60.35           39.45         90.00
  C30                  63.80           35.50          0.00
  C31                  66.50           24.50         90.00
  C32                  65.00           52.50         90.00
  C33                  62.50           53.00          0.00
  C34                  44.00           17.80         90.00
  C35                  42.50           23.30          0.00
  C36                  75.50           46.50         90.00
  C37                  69.50           51.00          0.00
  C38                  66.50           47.50         90.00
  C40                  54.50           52.50          0.00
  C41                  54.50           54.50          0.00
  C42                  57.50           46.00         90.00
  C43                  46.80           36.40          0.00
  C44                  59.40           33.40          0.00
  C45                  50.05           26.50         90.00
  C46                  58.35           38.50         90.00
  C47                  48.35           27.20         90.00
  C48                  56.75           27.70          0.00
  C49                  58.80           28.90          0.00
  C50                  59.40           34.70          0.00
  C51                  50.05           39.15          0.00
  C52                  46.30           32.05          0.00
  C53                  52.75           27.00         90.00
  C54                  54.25           27.00         90.00
  C55                  53.25           39.00         90.00
  C56                  51.75           39.05         90.00
  C57                  46.80           34.75          0.00
  C58                  46.80           33.25          0.00
  C59                  51.25           27.00         90.00
  C60                  57.15           38.50         90.00
  C61                  69.50           55.50          0.00
  C62                  67.70           64.10         90.00
  C63                  89.00           31.50          0.00
  C64                  89.00           24.50          0.00
  D3                   75.50           40.40         90.00
  D4                   65.20           28.90          0.00
  D5                   81.50           33.50        180.00
  D6                   78.00           38.00        -90.00
  D7                   68.50           59.70        180.00
  D8                   77.00           63.10        -90.00
  F1                   14.50           60.50         90.00
  F2                   27.50           60.50         90.00
  F3                   78.00           42.50         90.00
  FB11                 59.50           45.50         90.00
  FB12                 15.00           52.50          0.00
  FB13                 15.00           32.50          0.00
  L1                   63.50           64.30         90.00
  L2                   48.50           58.50          0.00
  L3                   74.80           35.40         90.00
  Q1                   75.50           20.00          0.00
  Q2                   78.00           16.00         90.00
  Q3                   82.50           29.00          0.00
  Q4                   82.00           23.50        -90.00
  Q5                   86.00           23.00        180.00
  Q6                   76.50           26.50          0.00
  R1                   24.00           62.00         90.00
  R2                   37.00           62.00         90.00
  R3                   71.00           17.30         90.00
  R4                   62.30           28.70         90.00
  R5                   10.50           34.00          0.00
  R6                   10.50           54.00          0.00
  R7                   43.75           52.50         90.00
  R8                   45.50           52.50         90.00
  R9                   34.50           65.00          0.00
  R10                  21.50           65.00          0.00
  R11                  38.00           65.00          0.00
  R12                  25.00           65.00          0.00
  R13                  78.50           20.00         90.00
  R14                  80.70           20.00         90.00
  R15                  69.40           17.30         90.00
  R16                  54.50           56.50          0.00
  R17                  75.00           16.00         90.00
  R18                  88.50           21.50         90.00
  R19                  95.00           24.00         90.00
  R20                  86.00           19.00         90.00
  R21                  53.50           59.50         90.00
  R22                  55.50           59.50         90.00
  R23                  69.50           32.30         90.00
  R24                  71.50           43.20          0.00
  R25                  69.55           40.50          0.00
  R26                  69.55           39.30          0.00
  R27                  63.00           49.00          0.00
  R28                  40.00           54.00         90.00
  R29                  81.50           36.50          0.00
  R30                  55.25           38.50         90.00
  R31                  15.00           16.00          0.00
  R32                  15.00           36.00          0.00
  R33                  54.40           15.50         90.00
  R34                  40.25           16.25          0.00
  R35                  43.90           28.05         90.00
  R36                  83.00           19.50         90.00
  R37                  61.60           35.50          0.00
  R38                  86.50           27.00         90.00
  R39                  93.00           32.00         90.00
  R40                  93.00           24.00         90.00
  R41                  92.00           20.50          0.00
  R42                  88.50           17.00         90.00
  R43                  93.00           28.00         90.00
  U1                   53.00           33.00          0.00
  U2                   70.20           23.50          0.00
  U3                   20.00           59.50          0.00
  U4                   33.00           59.50          0.00
  U5                   49.50           52.25        -90.00
  U6                   70.50           47.50        -90.00
  U7                   60.50           57.00         90.00
  U8                   71.00           36.30        180.00
  U9                   89.50           28.00          0.00
  U10                  92.00           17.00        180.00
  Y1                   63.05           38.55        -90.00

